      Time |   Peak Mem | File Name                           
--------------------------------------------------------------
138m45.47s | 7697920 ko | Total Time / Peak Mem               
--------------------------------------------------------------
 39m59.57s | 2691748 ko | out/Benchmark/Overview.vo           
 34m36.15s | 7697920 ko | out/Benchmark/SoftwareFoundations.vo
 17m14.53s | 2162336 ko | out/Benchmark/PeanoNats.vo          
 12m54.39s | 3382420 ko | out/Benchmark/SubExample.vo         
 10m35.08s | 1544604 ko | out/Benchmark/FoldrUniversal.vo     
  6m31.30s |  998112 ko | out/Benchmark/ApplicativeId.vo      
  2m46.64s |  872764 ko | out/Benchmark/Compose.vo            
  2m21.89s |  700944 ko | out/Benchmark/GradeExample.vo       
  2m09.60s |  865668 ko | out/PLE/Compose.vo                  
  1m53.32s |  867860 ko | out/Benchmark/PLE/Compose.vo        
  1m02.75s |  575348 ko | out/Benchmark/MonadMaybe.vo         
  0m49.84s |  550696 ko | out/Benchmark/MonadId.vo            
  0m45.70s |  519000 ko | out/Benchmark/Lists.vo              
  0m45.57s |  583380 ko | out/Benchmark/PLE/MonadMaybe.vo     
  0m42.80s |  508136 ko | out/Benchmark/MonoidList.vo         
  0m35.99s |  553052 ko | out/Benchmark/PLE/MonadId.vo        
  0m34.51s |  522084 ko | out/PLE/Lists.vo                    
  0m29.16s |  498832 ko | out/Benchmark/MonadLaws.vo          
  0m28.73s |  509760 ko | out/Benchmark/PLE/MonoidList.vo     
  0m26.24s |  520684 ko | out/Benchmark/PLE/Lists.vo          
  0m18.48s |  464948 ko | out/Benchmark/MonoidMaybe.vo        
  0m12.90s |  466484 ko | out/Benchmark/PLE/MonoidMaybe.vo    
  0m05.45s |  558208 ko | coqDeps/LiquidPreludeUtil.vo        
  0m05.44s |  544592 ko | coqDeps/GetRelFlattening.vo         
  0m05.18s |  549848 ko | coqDeps/LHCoqTactics.vo             
  0m04.20s |  437792 ko | out/Benchmark/RBinsToBins.vo        
  0m03.51s |  435536 ko | manual/Benchmark/Half.vo            
  0m02.36s |  431088 ko | out/Benchmark/Half.vo               
  0m00.71s |  429744 ko | coqDeps/QuickTacs.vo                
  0m00.68s |  430120 ko | coqDeps/TacticUtils.vo              
  0m00.64s |  432056 ko | coqDeps/GetRel.vo                   
  0m00.64s |  426908 ko | coqDeps/SubsumptionTacs.vo          
  0m00.62s |  426476 ko | coqDeps/LiquidPrelude.vo            
  0m00.32s |  414076 ko | coqDeps/Equality.vo                 
  0m00.30s |  418012 ko | coqDeps/Snipe.vo                    
  0m00.26s |  363724 ko | coqDeps/BoolTacs.vo                 
  0m00.02s |   69772 ko | coqDeps/PairLists.vo                
